Mfg#,Upc#,Case,GTIN  ,Description,Uom,Pack,Size,Category,Customer Price,Qty Available
00055,50919,50919,300055509191,Caltrate 600+ D Tablets                                          ,CS,36,60 CT       ,Vitamins/supplements          ,$198.50,63
00258,10931,10931,300258109310,Equal Packets                                                    ,CS,12,115 CT      ,Spice/Condmnt/Drsng/Gravy/Oil ,$25.68,1250
00258,27553,27553,300258275534,SWEETENER EQUAL PPI                                              ,CS,2000,1 CT        ,Grocery- other                ,$20.81,701
00416,68471,68471,300416684710,Oral B Pro Health Medium Twin Pack                               ,CS,72,2 CT        ,Oral Care                     ,$320.39,1
02652,17008,17828,602652170089,Kind Bar Almond & Coconut 1.4 Oz                                 ,CS,72,6/12CT      ,Snacks/ Energy bars           ,$81.35,71
02652,17011,17211,602652170119,Kind Bar Plus Cranberry Almond 1.4 Oz                            ,CS,72,6/12CT      ,Snacks/ Energy bars           ,$80.56,300
02652,17030,18533,602652170300,KIND BAR CARAMEL SEA SALT                                        ,CS,72,6/12CT      ,Grocery- other                ,$80.82,287
02652,17050,17250,602652170508,Kind Bar Dark Chocolate Cherry C  1.4 Oz                         ,CS,72,6/12CT      ,Snacks/ Energy bars           ,$82.63,154
02652,17056,17256,602652170560,Kind Bar Plus Peanut Buterr Dark Chocolate                       ,CS,72,6/12CT      ,Snacks/ Energy bars           ,$81.35,257
02652,17059,18554,602652170591,KIND BAR DARK CHOC MOCHA                                         ,CS,72,6/12CT      ,Grocery- other                ,$82.51,25
02652,17651,17851,602652176517,Kind Bar Dark Chocolate Nut/Sea Salt                             ,CS,72,6/12CT      ,Snacks/ Energy bars           ,$81.85,57
02652,19977,19987,002652199774,KIND BAR DRK CHOC ALM COCONUT                                    ,CS,72,6/12CT      ,Snacks/ Energy bars           ,$81.83,21
02652,19980,19990,602652199806,KIND BAR HNY RST NUT SEA SLT                                     ,CS,72,6/12CT      ,Snacks/ Energy bars           ,$74.88,143
02990,11022,11022,302990110227,CTPHL GENTLE CLEANSER                                            ,CS,12,16 OZ       ,Grocery- other                ,$116.42,416
